brand,product_line,record_scope,nominal_shade,measured_vlt_pct,vlr_exterior_pct,vlr_interior_pct,uv_rejection,tser_pct,tser_range,glare_reduction_pct,ir_primary_metric,ir_primary_value,ir_primary_wavelength_nm,ir_secondary_metric,ir_secondary_value,ir_secondary_wavelength_nm,solar_transmittance_pct,solar_reflectance_pct,solar_absorbance_pct,shading_coefficient,shgc,thickness_mil,construction,warranty,substrate,test_standard,source_kind,source_url,source_date,verified_at,data_status,notes
KDX,King,shade,40,40,6,,>=99,60,,,IRR,80,900-1000,IRER,77,780-2500,,,31,,,3.0,sputtered,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,King,shade,55,56,9,,>=99,54,,,IRR,78,900-1000,IRER,79,780-2500,,,23,,,3.0,sputtered,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,King,shade,70,70,11,,>=99,54,,,IRR,83,900-1000,IRER,81,780-2500,,,17,,,3.0,sputtered,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Nova Carbon,shade,5,5,6,,>=99,57,,,IRR,72,900-1000,IRER,50,780-2500,,,,,,1.5,carbon,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Nova Carbon,shade,15,16,6,,>=99,52,,,IRR,58,900-1000,IRER,38,780-2500,,,,,,1.5,carbon,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Nova Carbon,shade,20,20,7,,>=99,50,,,IRR,56,900-1000,IRER,36,780-2500,,,,,,1.5,carbon,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Nova Carbon,shade,35,35,7,,>=99,41,,,IRR,35,900-1000,IRER,22,780-2500,,,,,,1.5,carbon,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Nova Carbon,shade,50,47,7,,>=99,32,,,IRR,22,900-1000,IRER,19,780-2500,,,,,,1.5,carbon,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Stellar Ceramic,shade,5,5,8,,>=99,71,,,IRR,88,900-1000,IRER,67,780-2500,,,,,,2.0,ceramic,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Stellar Ceramic,shade,20,20,8,,>=99,62,,,IRR,88,900-1000,IRER,64,780-2500,,,,,,2.0,ceramic,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Stellar Ceramic,shade,35,34,8,,>=99,59,,,IRR,90,900-1000,IRER,68,780-2500,,,,,,2.0,ceramic,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
